,No,全国地方公共団体コード,都道府県名,市区町村名,年月日,曜日,件数,備考
0,1,401307,福岡県,福岡市,2020/2/7,金,26.0,
1,2,401307,福岡県,福岡市,2020/2/8,土,,
2,3,401307,福岡県,福岡市,2020/2/9,日,,
3,4,401307,福岡県,福岡市,2020/2/10,月,19.0,
4,5,401307,福岡県,福岡市,2020/2/11,火,,
5,6,401307,福岡県,福岡市,2020/2/12,水,16.0,
6,7,401307,福岡県,福岡市,2020/2/13,木,7.0,
7,8,401307,福岡県,福岡市,2020/2/14,金,31.0,
8,9,401307,福岡県,福岡市,2020/2/15,土,,
9,10,401307,福岡県,福岡市,2020/2/16,日,,
10,11,401307,福岡県,福岡市,2020/2/17,月,42.0,
11,12,401307,福岡県,福岡市,2020/2/18,火,34.0,
12,13,401307,福岡県,福岡市,2020/2/19,水,28.0,
13,14,401307,福岡県,福岡市,2020/2/20,木,120.0,2/20夜間から24時間対応
14,15,401307,福岡県,福岡市,2020/2/21,金,328.0,
15,16,401307,福岡県,福岡市,2020/2/22,土,248.0,
16,17,401307,福岡県,福岡市,2020/2/23,日,202.0,
17,18,401307,福岡県,福岡市,2020/2/24,月,282.0,
18,19,401307,福岡県,福岡市,2020/2/25,火,242.0,
19,20,401307,福岡県,福岡市,2020/2/26,水,217.0,
20,21,401307,福岡県,福岡市,2020/2/27,木,224.0,
21,22,401307,福岡県,福岡市,2020/2/28,金,183.0,
22,23,401307,福岡県,福岡市,2020/2/29,土,206.0,
23,24,401307,福岡県,福岡市,2020/3/1,日,158.0,
24,25,401307,福岡県,福岡市,2020/3/2,月,219.0,
25,26,401307,福岡県,福岡市,2020/3/3,火,199.0,
26,27,401307,福岡県,福岡市,2020/3/4,水,164.0,
27,28,401307,福岡県,福岡市,2020/3/5,木,192.0,
28,29,401307,福岡県,福岡市,2020/3/6,金,163.0,
29,30,401307,福岡県,福岡市,2020/3/7,土,165.0,
30,31,401307,福岡県,福岡市,2020/3/8,日,149.0,
31,32,401307,福岡県,福岡市,2020/3/9,月,175.0,
32,33,401307,福岡県,福岡市,2020/3/10,火,173.0,
33,34,401307,福岡県,福岡市,2020/3/11,水,123.0,
