,No,全国地方公共団体コード,都道府県名,市区町村名,年月日,曜日,件数,備考
0,1,401307,福岡県,福岡市,2020/1/27,月,39,
1,2,401307,福岡県,福岡市,2020/1/28,火,46,
2,3,401307,福岡県,福岡市,2020/1/29,水,98,
3,4,401307,福岡県,福岡市,2020/1/30,木,106,
4,5,401307,福岡県,福岡市,2020/1/31,金,130,
5,6,401307,福岡県,福岡市,2020/2/1,土,21,
6,7,401307,福岡県,福岡市,2020/2/2,日,26,
7,8,401307,福岡県,福岡市,2020/2/3,月,108,
8,9,401307,福岡県,福岡市,2020/2/4,火,69,
9,10,401307,福岡県,福岡市,2020/2/5,水,64,
10,11,401307,福岡県,福岡市,2020/2/6,木,64,
11,12,401307,福岡県,福岡市,2020/2/7,金,54,
12,13,401307,福岡県,福岡市,2020/2/8,土,8,
13,14,401307,福岡県,福岡市,2020/2/9,日,3,
14,15,401307,福岡県,福岡市,2020/2/10,月,45,
15,16,401307,福岡県,福岡市,2020/2/11,火,8,
16,17,401307,福岡県,福岡市,2020/2/12,水,40,
17,18,401307,福岡県,福岡市,2020/2/13,木,43,
18,19,401307,福岡県,福岡市,2020/2/14,金,102,
19,20,401307,福岡県,福岡市,2020/2/15,土,34,
20,21,401307,福岡県,福岡市,2020/2/16,日,22,
21,22,401307,福岡県,福岡市,2020/2/17,月,137,
22,23,401307,福岡県,福岡市,2020/2/18,火,112,
23,24,401307,福岡県,福岡市,2020/2/19,水,105,
24,25,401307,福岡県,福岡市,2020/2/20,木,289,
25,26,401307,福岡県,福岡市,2020/2/21,金,268,
26,27,401307,福岡県,福岡市,2020/2/22,土,155,
27,28,401307,福岡県,福岡市,2020/2/23,日,108,
28,29,401307,福岡県,福岡市,2020/2/24,月,149,
29,30,401307,福岡県,福岡市,2020/2/25,火,379,
30,31,401307,福岡県,福岡市,2020/2/26,水,340,
31,32,401307,福岡県,福岡市,2020/2/27,木,347,
32,33,401307,福岡県,福岡市,2020/2/28,金,296,
33,34,401307,福岡県,福岡市,2020/2/29,土,80,
34,35,401307,福岡県,福岡市,2020/3/1,日,39,
35,36,401307,福岡県,福岡市,2020/3/2,月,371,
36,37,401307,福岡県,福岡市,2020/3/3,火,218,
37,38,401307,福岡県,福岡市,2020/3/4,水,209,
38,39,401307,福岡県,福岡市,2020/3/5,木,230,
39,40,401307,福岡県,福岡市,2020/3/6,金,218,
40,41,401307,福岡県,福岡市,2020/3/7,土,59,
41,42,401307,福岡県,福岡市,2020/3/8,日,29,
42,43,401307,福岡県,福岡市,2020/3/9,月,301,
43,44,401307,福岡県,福岡市,2020/3/10,火,205,
44,45,401307,福岡県,福岡市,2020/3/11,水,182,
