code,pref,town,kana1,kana2
401005,福岡県,北九州市,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼ
401307,福岡県,福岡市,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼ
402028,福岡県,大牟田市,ﾌｸｵｶｹﾝ,ｵｵﾑﾀｼ
402036,福岡県,久留米市,ﾌｸｵｶｹﾝ,ｸﾙﾒｼ
402044,福岡県,直方市,ﾌｸｵｶｹﾝ,ﾉｵｶﾞﾀｼ
402052,福岡県,飯塚市,ﾌｸｵｶｹﾝ,ｲｲﾂﾞｶｼ
402061,福岡県,田川市,ﾌｸｵｶｹﾝ,ﾀｶﾞﾜｼ
402079,福岡県,柳川市,ﾌｸｵｶｹﾝ,ﾔﾅｶﾞﾜｼ
402109,福岡県,八女市,ﾌｸｵｶｹﾝ,ﾔﾒｼ
402117,福岡県,筑後市,ﾌｸｵｶｹﾝ,ﾁｸｺﾞｼ
402125,福岡県,大川市,ﾌｸｵｶｹﾝ,ｵｵｶﾜｼ
402133,福岡県,行橋市,ﾌｸｵｶｹﾝ,ﾕｸﾊｼｼ
402141,福岡県,豊前市,ﾌｸｵｶｹﾝ,ﾌﾞｾﾞﾝｼ
402150,福岡県,中間市,ﾌｸｵｶｹﾝ,ﾅｶﾏｼ
402168,福岡県,小郡市,ﾌｸｵｶｹﾝ,ｵｺﾞｵﾘｼ
402176,福岡県,筑紫野市,ﾌｸｵｶｹﾝ,ﾁｸｼﾉｼ
402184,福岡県,春日市,ﾌｸｵｶｹﾝ,ｶｽｶﾞｼ
402192,福岡県,大野城市,ﾌｸｵｶｹﾝ,ｵｵﾉｼﾞｮｳｼ
402206,福岡県,宗像市,ﾌｸｵｶｹﾝ,ﾑﾅｶﾀｼ
402214,福岡県,太宰府市,ﾌｸｵｶｹﾝ,ﾀﾞｻﾞｲﾌｼ
402231,福岡県,古賀市,ﾌｸｵｶｹﾝ,ｺｶﾞｼ
402249,福岡県,福津市,ﾌｸｵｶｹﾝ,ﾌｸﾂｼ
402257,福岡県,うきは市,ﾌｸｵｶｹﾝ,ｳｷﾊｼ
402265,福岡県,宮若市,ﾌｸｵｶｹﾝ,ﾐﾔﾜｶｼ
402273,福岡県,嘉麻市,ﾌｸｵｶｹﾝ,ｶﾏｼ
402281,福岡県,朝倉市,ﾌｸｵｶｹﾝ,ｱｻｸﾗｼ
402290,福岡県,みやま市,ﾌｸｵｶｹﾝ,ﾐﾔﾏｼ
